layout,infected_level,fonttype,selected,appeared,rate
right-aligned,word,highlight,21,22,0.9545454545454546
left-aligned,word,highlight,25,27,0.9259259259259259
middle-aligned,word,highlight,25,27,0.9259259259259259
diagonal,token,highlight,12,13,0.9230769230769231
left-aligned,word,bold,24,26,0.9230769230769231
right-aligned,word,color,19,21,0.9047619047619048
left-aligned,word,precomposed,14,16,0.875
random,mixed,bold,19,22,0.8636363636363636
middle-aligned,token,bold,22,26,0.8461538461538461
diagonal,token,bold,16,19,0.8421052631578947
anti-diagonal,mixed,bold,20,24,0.8333333333333334
left-aligned,word,color,18,22,0.8181818181818182
anti-diagonal,word,color,13,16,0.8125
diagonal,word,color,16,20,0.8
right-aligned,word,bold,20,25,0.8
middle-aligned,word,bold,24,30,0.8
anti-diagonal,word,highlight,22,28,0.7857142857142857
anti-diagonal,word,bold,11,14,0.7857142857142857
random,token,highlight,11,14,0.7857142857142857
diagonal,word,highlight,17,22,0.7727272727272727
middle-aligned,word,color,20,26,0.7692307692307693
diagonal,token,precomposed,23,30,0.7666666666666667
left-aligned,mixed,bold,16,21,0.7619047619047619
diagonal,word,bold,12,16,0.75
right-aligned,token,bold,20,27,0.7407407407407407
anti-diagonal,word,precomposed,14,19,0.7368421052631579
middle-aligned,mixed,highlight,14,19,0.7368421052631579
random,token,bold,11,15,0.7333333333333333
random,word,color,24,33,0.7272727272727273
left-aligned,token,color,13,18,0.7222222222222222
diagonal,word,precomposed,13,18,0.7222222222222222
left-aligned,token,bold,15,21,0.7142857142857143
right-aligned,token,highlight,17,24,0.7083333333333334
right-aligned,word,precomposed,17,24,0.7083333333333334
middle-aligned,word,precomposed,12,17,0.7058823529411765
left-aligned,mixed,highlight,14,20,0.7
anti-diagonal,token,highlight,16,23,0.6956521739130435
random,word,bold,15,22,0.6818181818181818
anti-diagonal,token,bold,19,28,0.6785714285714286
diagonal,mixed,precomposed,8,12,0.6666666666666666
diagonal,mixed,highlight,19,29,0.6551724137931034
right-aligned,mixed,bold,13,20,0.65
diagonal,mixed,color,11,17,0.6470588235294118
random,word,highlight,11,17,0.6470588235294118
left-aligned,token,highlight,16,25,0.64
random,word,precomposed,13,21,0.6190476190476191
middle-aligned,word,cap-flipping,16,26,0.6153846153846154
left-aligned,mixed,color,16,26,0.6153846153846154
random,token,color,12,20,0.6
middle-aligned,token,highlight,12,20,0.6
middle-aligned,token,color,15,25,0.6
random,mixed,highlight,14,24,0.5833333333333334
anti-diagonal,token,color,14,24,0.5833333333333334
right-aligned,mixed,precomposed,21,36,0.5833333333333334
right-aligned,token,precomposed,18,31,0.5806451612903226
diagonal,token,color,18,31,0.5806451612903226
middle-aligned,mixed,color,11,19,0.5789473684210527
anti-diagonal,token,cap-flipping,17,30,0.5666666666666667
random,mixed,precomposed,9,16,0.5625
middle-aligned,mixed,precomposed,14,25,0.56
random,mixed,color,14,25,0.56
right-aligned,word,cap-flipping,15,27,0.5555555555555556
anti-diagonal,token,precomposed,16,29,0.5517241379310345
diagonal,mixed,bold,12,22,0.5454545454545454
right-aligned,token,color,15,28,0.5357142857142857
random,token,precomposed,9,17,0.5294117647058824
anti-diagonal,mixed,precomposed,9,17,0.5294117647058824
right-aligned,mixed,color,16,31,0.5161290322580645
random,word,cap-flipping,14,28,0.5
diagonal,word,cap-flipping,11,22,0.5
right-aligned,mixed,highlight,9,18,0.5
left-aligned,token,precomposed,11,22,0.5
left-aligned,word,cap-flipping,8,16,0.5
anti-diagonal,mixed,highlight,10,21,0.47619047619047616
left-aligned,mixed,precomposed,10,21,0.47619047619047616
anti-diagonal,word,cap-flipping,6,13,0.46153846153846156
left-aligned,token,cap-flipping,8,18,0.4444444444444444
diagonal,token,cap-flipping,9,21,0.42857142857142855
random,mixed,cap-flipping,8,19,0.42105263157894735
middle-aligned,token,cap-flipping,7,17,0.4117647058823529
anti-diagonal,mixed,color,9,23,0.391304347826087
middle-aligned,mixed,bold,6,16,0.375
random,token,cap-flipping,6,16,0.375
anti-diagonal,mixed,cap-flipping,9,25,0.36
middle-aligned,token,precomposed,9,25,0.36
diagonal,mixed,cap-flipping,7,21,0.3333333333333333
left-aligned,mixed,cap-flipping,6,19,0.3157894736842105
right-aligned,token,cap-flipping,7,23,0.30434782608695654
middle-aligned,mixed,cap-flipping,3,10,0.3
left-aligned,token,cloze,6,21,0.2857142857142857
right-aligned,mixed,cap-flipping,6,21,0.2857142857142857
middle-aligned,word,cloze,6,25,0.24
right-aligned,word,cloze,4,23,0.17391304347826086
left-aligned,word,cloze,3,19,0.15789473684210525
anti-diagonal,mixed,cloze,4,28,0.14285714285714285
diagonal,word,cloze,3,24,0.125
middle-aligned,mixed,cloze,2,16,0.125
random,mixed,cloze,2,16,0.125
right-aligned,mixed,cloze,2,17,0.11764705882352941
anti-diagonal,token,cloze,2,18,0.1111111111111111
random,token,cloze,2,21,0.09523809523809523
diagonal,token,cloze,2,24,0.08333333333333333
diagonal,mixed,cloze,2,27,0.07407407407407407
left-aligned,mixed,cloze,2,28,0.07142857142857142
random,word,cloze,1,22,0.045454545454545456
middle-aligned,token,cloze,1,25,0.04
anti-diagonal,word,cloze,1,25,0.04
right-aligned,token,cloze,1,29,0.034482758620689655
