layout,infected_level,fonttype,selected,appeared,rate
anti-diagonal,word,color,14,15,0.9333333333333333
right-aligned,word,color,21,23,0.9130434782608695
right-aligned,word,highlight,31,34,0.9117647058823529
diagonal,word,highlight,19,21,0.9047619047619048
random,word,bold,15,17,0.8823529411764706
anti-diagonal,word,highlight,15,17,0.8823529411764706
left-aligned,word,color,14,16,0.875
left-aligned,word,highlight,17,20,0.85
random,word,highlight,19,23,0.8260869565217391
random,token,color,18,22,0.8181818181818182
left-aligned,word,bold,21,26,0.8076923076923077
middle-aligned,word,bold,8,10,0.8
right-aligned,word,bold,15,19,0.7894736842105263
diagonal,mixed,highlight,11,14,0.7857142857142857
diagonal,word,color,13,17,0.7647058823529411
diagonal,word,bold,19,25,0.76
random,word,color,9,12,0.75
anti-diagonal,mixed,highlight,13,18,0.7222222222222222
middle-aligned,word,highlight,18,25,0.72
left-aligned,word,cap-flipping,15,21,0.7142857142857143
left-aligned,token,highlight,15,21,0.7142857142857143
anti-diagonal,word,bold,15,21,0.7142857142857143
middle-aligned,word,color,14,20,0.7
diagonal,word,precomposed,16,23,0.6956521739130435
left-aligned,word,precomposed,18,26,0.6923076923076923
right-aligned,word,precomposed,13,19,0.6842105263157895
left-aligned,token,bold,15,22,0.6818181818181818
random,word,precomposed,17,25,0.68
middle-aligned,token,highlight,19,28,0.6785714285714286
left-aligned,mixed,color,16,24,0.6666666666666666
diagonal,token,highlight,12,18,0.6666666666666666
middle-aligned,token,bold,18,27,0.6666666666666666
diagonal,token,bold,15,23,0.6521739130434783
left-aligned,token,precomposed,13,20,0.65
random,token,bold,13,20,0.65
right-aligned,token,precomposed,11,17,0.6470588235294118
anti-diagonal,token,precomposed,11,17,0.6470588235294118
anti-diagonal,word,precomposed,18,28,0.6428571428571429
middle-aligned,token,precomposed,17,27,0.6296296296296297
right-aligned,token,bold,13,21,0.6190476190476191
anti-diagonal,token,bold,14,23,0.6086956521739131
left-aligned,mixed,highlight,17,28,0.6071428571428571
diagonal,token,precomposed,19,32,0.59375
left-aligned,mixed,precomposed,13,22,0.5909090909090909
random,token,highlight,14,24,0.5833333333333334
left-aligned,mixed,bold,15,27,0.5555555555555556
anti-diagonal,word,cap-flipping,11,20,0.55
random,token,precomposed,13,24,0.5416666666666666
random,mixed,highlight,13,24,0.5416666666666666
diagonal,mixed,bold,8,15,0.5333333333333333
random,mixed,bold,13,25,0.52
right-aligned,mixed,color,14,27,0.5185185185185185
right-aligned,token,color,14,27,0.5185185185185185
right-aligned,mixed,bold,16,32,0.5
diagonal,token,color,11,22,0.5
left-aligned,token,cap-flipping,8,16,0.5
middle-aligned,mixed,color,12,25,0.48
random,mixed,color,12,25,0.48
anti-diagonal,token,highlight,12,25,0.48
right-aligned,mixed,highlight,12,25,0.48
right-aligned,mixed,precomposed,11,23,0.4782608695652174
diagonal,mixed,color,11,23,0.4782608695652174
random,mixed,precomposed,11,23,0.4782608695652174
middle-aligned,word,precomposed,9,19,0.47368421052631576
middle-aligned,mixed,bold,8,17,0.47058823529411764
anti-diagonal,token,cap-flipping,13,28,0.4642857142857143
anti-diagonal,token,color,13,28,0.4642857142857143
middle-aligned,word,cap-flipping,10,22,0.45454545454545453
random,word,cap-flipping,9,20,0.45
anti-diagonal,mixed,bold,7,16,0.4375
middle-aligned,token,color,13,30,0.43333333333333335
right-aligned,token,highlight,9,21,0.42857142857142855
diagonal,word,cap-flipping,9,21,0.42857142857142855
right-aligned,word,cap-flipping,8,19,0.42105263157894735
left-aligned,mixed,cap-flipping,7,17,0.4117647058823529
middle-aligned,mixed,highlight,9,22,0.4090909090909091
random,token,cap-flipping,10,25,0.4
middle-aligned,mixed,precomposed,9,23,0.391304347826087
middle-aligned,token,cap-flipping,7,18,0.3888888888888889
left-aligned,token,color,8,21,0.38095238095238093
diagonal,mixed,precomposed,8,21,0.38095238095238093
anti-diagonal,mixed,precomposed,7,19,0.3684210526315789
random,mixed,cap-flipping,5,15,0.3333333333333333
anti-diagonal,mixed,color,7,21,0.3333333333333333
diagonal,token,cap-flipping,6,21,0.2857142857142857
middle-aligned,mixed,cap-flipping,6,22,0.2727272727272727
right-aligned,mixed,cap-flipping,5,19,0.2631578947368421
random,token,cloze,6,23,0.2608695652173913
right-aligned,token,cloze,7,28,0.25
diagonal,mixed,cap-flipping,3,12,0.25
right-aligned,token,cap-flipping,3,13,0.23076923076923078
random,word,cloze,4,18,0.2222222222222222
random,mixed,cloze,3,14,0.21428571428571427
middle-aligned,token,cloze,4,19,0.21052631578947367
anti-diagonal,mixed,cap-flipping,7,34,0.20588235294117646
middle-aligned,word,cloze,4,23,0.17391304347826086
left-aligned,mixed,cloze,4,23,0.17391304347826086
diagonal,word,cloze,4,23,0.17391304347826086
left-aligned,word,cloze,3,18,0.16666666666666666
right-aligned,word,cloze,2,12,0.16666666666666666
anti-diagonal,word,cloze,4,28,0.14285714285714285
right-aligned,mixed,cloze,3,23,0.13043478260869565
anti-diagonal,token,cloze,3,27,0.1111111111111111
diagonal,token,cloze,2,19,0.10526315789473684
diagonal,mixed,cloze,2,21,0.09523809523809523
anti-diagonal,mixed,cloze,2,23,0.08695652173913043
middle-aligned,mixed,cloze,1,21,0.047619047619047616
left-aligned,token,cloze,1,22,0.045454545454545456
